,Target,TLI,Avg (3yr),TN,TN (Trend),TP,TP (Trend),CHLA Median,CHLA Maximum,CHLA (Trend),Clarity (Trend),Lake SPI,Lake SPI (Native),Lake SPI (Invasive),Cyano Warning,Cyano Biovolumes,Swimming Water Quality,Koura Abundance,Koura Trend,Reason for change,Most Recent Survey,Kakahi Abundance,Kakahi Trend,Survey Type,Catfish,Catfish Trend,ISP,Lake SPI Update
Okareka,3,3.1,3.1,B,n,A,++,B,B,+,++,High,B,B,N/A,N/A,Fair,Moderate,n,N/A,2025,Present,n,Snorkel,Absent,N/A,lagarosiphon,May-23
Okaro,5,4.7,4.5,C,++,C,++,C,D,-,+,High,C,B,No,D,Good,Present,N/A,Artifical reef programme.,2025,Absent,N/A,N/A,Absent,N/A,elodea,Apr-23
Okataina,2.6,2.6,2.7,A,--,A,-,A,A,n,+,High,B,C,N/A,N/A,N/A,Abundant,n,N/A,2021,Present,n,Snorkel,Absent,N/A,lagarosiphon,Mar-22
Rerewhakaaitu,3.6,3.7,3.8,B,-,B,+,B,B,n,n,Moderate,C,C,N/A,N/A,Good,Present,n,N/A,2022,Present,n,Snorkel,Absent,N/A,"egeria, lagarosiphon, elodea, juncus_bulbosus",May-23
Rotoehu,3.9,4.2,4.3,B,++,C,n,C,D,n,++,Poor,C,D,Yes,D,Good,Present,-,Declining water quality.,2025,Moderate,n,N/A,Absent,N/A,"ceratophyllum, elodea, potamogeton_crispus",May-23
Rotoiti,3.5,3.8,3.8,B/B,--/--,C/C,++/++,C/B,C/B,n/-,--/--,Moderate,C,C,Yes,B,Excellent,Moderate,-,Catfish predation.,2024,Abundant,n,Shoreline,Abundant,n,"ceratophyllum, egeria, elodea, lagarosiphon, potamogeton_crispus",May-23
Rotokakahi,3.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Moderate,C,C,N/A,N/A,N/A,Moderate,n,N/A,2021,Abundant,n,N/A,Absent,N/A,elodea,Mar-18
Rotoma,2.3,2.5,2.6,A,--,A,-,A,A,--,--,High,B,C,N/A,N/A,Good,Abundant,n,N/A,2023,Abundant,n,Scuba,Absent,N/A,lagarosiphon,May-23
Rotomahana,3.9,3.6,3.8,B,--,C,++,B,B,-,++,Moderate,C,C,N/A,N/A,N/A,Absent,N/A,N/A,2018,Absent,N/A,Absent,Absent,N/A,"ceratophyllum, egeria, elodea, potamogeton_crispus",May-23
Rotorua,4.2,4.3,4.3,B/B,--/--,B/B,--/--,C/C,C/C,--/-,n/n,Moderate,C,C,Yes,C,Poor,Moderate,-,Catfish predation.,2025,Abundant,+,Shoreline,Abundant,n,"egeria, elodea, lagarosiphon",Apr-23
Tarawera,2.6,2.8,2.9,A,--,B,++,A,A,-,+,Moderate,C,C,No,N/A,Excellent,Abundant,n,N/A,2024,Moderate,n,Scuba/shoreline,Absent,N/A,"ceratophyllum, egeria, elodea, lagarosiphon, ranunculus_trichophyllus",Mar-22
Tikitapu,2.7,2.8,2.9,B,-,A,n,B,A,-,+,High,B,C,N/A,N/A,Excellent,Present,n,Recovering.,2025,Absent,N/A,N/A,Absent,N/A,lagarosiphon,Mar-22
